Network,Mantel Statistic (Pearson),Significance,Test Type,Image Type
random weights,0.1589,0.001,Mantel test to LCH,intact
supervised,0.11167,0.001,Mantel test to LCH,intact
{Lab} (Tian et al.),0.1195,0.001,Mantel test to LCH,intact
Movie Lab,0.1403,0.001,Mantel test to LCH,intact
SemanticCMC - 1 sec,0.03937,0.115,Mantel test to LCH,intact
SemanticCMC - 10 sec,0.2121,0.001,Mantel test to LCH,intact
SemanticCMC - 60 sec,0.2668,0.001,Mantel test to LCH,intact
SemanticCMC - 5min,0.2302,0.001,Mantel test to LCH,intact
random weights,1.89E-09,0.493,Partial mantel to LCH (controlling for random),intact
supervised,0.02595,0.206,Partial mantel to LCH (controlling for random),intact
{Lab} (Tian et al.),-0.02184,0.74,Partial mantel to LCH (controlling for random),intact
Movie Lab,0.0001595,0.484,Partial mantel to LCH (controlling for random),intact
SemanticCMC - 1 sec,-0.04642,0.931,Partial mantel to LCH (controlling for random),intact
SemanticCMC - 10 sec,0.1654,0.001,Partial mantel to LCH (controlling for random),intact
SemanticCMC - 60 sec,0.2195,0.001,Partial mantel to LCH (controlling for random),intact
SemanticCMC - 5min,0.1772,0.001,Partial mantel to LCH (controlling for random),intact
random weights,0.03477,0.184,Mantel test to LCH,blur (sigma=10.0)
supervised,0.07216,0.004,Mantel test to LCH,blur (sigma=10.0)
{Lab} (Tian et al.),0.019666,0.32,Mantel test to LCH,blur (sigma=10.0)
Movie Lab,0.09133,0.007,Mantel test to LCH,blur (sigma=10.0)
SemanticCMC - 1 sec,-0.002675,0.518,Mantel test to LCH,blur (sigma=10.0)
SemanticCMC - 10 sec,0.2134,0.001,Mantel test to LCH,blur (sigma=10.0)
SemanticCMC - 60 sec,0.2136,0.001,Mantel test to LCH,blur (sigma=10.0)
SemanticCMC - 5min,0.2163,0.001,Mantel test to LCH,blur (sigma=10.0)
random weights,0.00,0.00,Partial mantel to LCH (controlling for random),blur (sigma=10.0)
supervised,0.03881,0.069,Partial mantel to LCH (controlling for random),blur (sigma=10.0)
{Lab} (Tian et al.),0.01605,0.325,Partial mantel to LCH (controlling for random),blur (sigma=10.0)
Movie Lab,0.1016,0.002,Partial mantel to LCH (controlling for random),blur (sigma=10.0)
SemanticCMC - 1 sec,-0.03623,0.856,Partial mantel to LCH (controlling for random),blur (sigma=10.0)
SemanticCMC - 10 sec,0.2172,0.001,Partial mantel to LCH (controlling for random),blur (sigma=10.0)
SemanticCMC - 60 sec,0.2116,0.001,Partial mantel to LCH (controlling for random),blur (sigma=10.0)
SemanticCMC - 5min,0.2155,0.001,Partial mantel to LCH (controlling for random),blur (sigma=10.0)
random weights,0.06292,0.009,Mantel test to LCH,objects only
supervised,0.07216,0.009,Mantel test to LCH,objects only
{Lab} (Tian et al.),-9.28e-05,0.466,Mantel test to LCH,objects only
Movie Lab,0.003608,0.459,Mantel test to LCH,objects only
SemanticCMC - 1 sec,0.06673,0.023,Mantel test to LCH,objects only
SemanticCMC - 10 sec,0.02464,0.208,Mantel test to LCH,objects only
SemanticCMC - 60 sec,0.07329,0.011,Mantel test to LCH,objects only
SemanticCMC - 5min,0.04746,0.077,Mantel test to LCH,objects only
random weights,0.00,0.00,Partial mantel to LCH (controlling for random),objects only
supervised,0.03881,0.071,Partial mantel to LCH (controlling for random),objects only
{Lab} (Tian et al.),-0.03681,0.822,Partial mantel to LCH (controlling for random),objects only
Movie Lab,-0.02582,0.745,Partial mantel to LCH (controlling for random),objects only
SemanticCMC - 1 sec,0.02626,0.228,Partial mantel to LCH (controlling for random),objects only
SemanticCMC - 10 sec,-0.04529,0.937,Partial mantel to LCH (controlling for random),objects only
SemanticCMC - 60 sec,0.04002,0.076,Partial mantel to LCH (controlling for random),objects only
SemanticCMC - 5min,-0.01732,0.687,Partial mantel to LCH (controlling for random),objects only
random weights,0.06677,0.007,Mantel test to LCH,background only
supervised,0.07208,0.003,Mantel test to LCH,background only
{Lab} (Tian et al.),-1.77e-02,0.652,Mantel test to LCH,background only
Movie Lab,0.009448,0.403,Mantel test to LCH,background only
SemanticCMC - 1 sec,0.06115,0.045,Mantel test to LCH,background only
SemanticCMC - 10 sec,0.03108,0.177,Mantel test to LCH,background only
SemanticCMC - 60 sec,0.07054,0.009,Mantel test to LCH,background only
SemanticCMC - 5min,0.04906,0.066,Mantel test to LCH,background only
random weights,0.00,0.00,Partial mantel to LCH (controlling for random),background only
supervised,0.03448,0.095,Partial mantel to LCH (controlling for random),background only
{Lab} (Tian et al.),-0.05701,0.927,Partial mantel to LCH (controlling for random),background only
Movie Lab,-0.02173,0.676,Partial mantel to LCH (controlling for random),background only
SemanticCMC - 1 sec,0.009545,0.382,Partial mantel to LCH (controlling for random),background only
SemanticCMC - 10 sec,-0.0376,0.895,Partial mantel to LCH (controlling for random),background only
SemanticCMC - 60 sec,0.03118,0.151,Partial mantel to LCH (controlling for random),background only
SemanticCMC - 5min,-0.02091,0.74,Partial mantel to LCH (controlling for random),background only